Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
Bottom Line - New York,44 Court Street,Ste. 300,Brooklyn,NY,11201,347-889-7627,cwootan@bottomline.org,,https://www.bottomline.org/what-we-do
Network for Youth Success,81 Prospect Street,2nd Floor,Brooklyn,NY,11201,518-486-8560,Timothy@networkforyouthsuccess.org,,
CAMBA School for Democracy & Leadership,600 Kingston Avenue,,Brooklyn,NY,11203,718-771-4865,,,https://www.camba.org/about
CAMBA LTW at Brooklyn Academy High School,832 Marcy Avenue,,Brooklyn,NY,11216,718-638-4235,,,https://www.camba.org/about
CAMBA LTW at Liberation Diploma Plus High School,2865 W 19th Street,,Brooklyn,NY,11224,718-266-4942,,,https://www.camba.org/about
CAMBA Program Office,2211 Church Avenue,,Brooklyn,NY,11226,718-282-0108,,,https://www.camba.org/about
CAMBA Program Office,885 Flatbush Avenue,,Brooklyn,NY,11226,718-287-0010,,,https://www.camba.org/about
CAMBA LTW at Young Adult Borough Center at Erasmus Campus,911 Flatbush Avenue,,Brooklyn,NY,11226,718-282-5376,,,https://www.camba.org/about
CAMBA LTW at Professional pathways High School,3000 Avenue X,,Brooklyn,NY,11235,718-332-6290,,,https://www.camba.org/about
CAMBA LTW at Young Adult Borough Center at South Shore Educational Complex,6565 Flatlands Avenue,,Brooklyn,NY,11236,718-968-4100,,,https://www.camba.org/about
npower - Brooklyn,50 Greene Avenue,,Brooklyn,NY,11238,,admissionsBrooklyn@npower.org,,https://www.npower.org/locations/
YMCA of Greater New York - Y Step,161-04 Jamaica Avenue,,Jamaica,NY,11432,781-961-6880 ext.142,,,https://ymcanyc.org/programs/kids-family/teen-programs
Nassau County Youth Board,60 Charles Lindbergh Blvd.,,Uniondale,NY,11553,516-227-7115,,516-227-7107,https://www.nassaucountyny.gov/1957/Youth-Services
"United Way of Long Island, Inc.",819 Grand Blvd.,,Deer Park,NY,11729,631-940-3718,,,https://www.unitedwayli.org/youthbuildli
Suffolk County Youth Bureau,100 Veterans Memorial Highway,,Hauppauge,NY,11788,631-853-8270,youth.services@suffolkcountyny.gov,631-853-8271,https://www.suffolkcountyny.gov/Elected-Officials/County-Executive/YouthBureau
Saratoga County Youth Bureau,152 West High Street,,Ballston Spa,NY,12020,518-884-4180,,518-884-4185,https://www.saratogacountyny.gov/departments/youth-bureau/
Montgomery County Youth Bureau,20 Park Street,P.O. Box 1500,Fonda,NY,12068,518-853-4355,,518-853-8299,https://www.co.montgomery.ny.us/web/sites/departments/youth/default.asp
Schoharie County Youth Bureau,284 Main Street,3rd Floor,Schoharie,NY,12157,518-295-2057,,518-295-2094,https://www4.schohariecounty-ny.gov/departments/youth/
Commission on Economic Opportunity,2331 Fifth Avenue,,Troy,NY,12180,518-272-6012 ext.239,,,https://www.ceoempowers.org/services/employment-financial-education/youthbuild/
Network for Youth Success,415 River Street,,Troy,NY,12180,518-486-8559,Timothy@networkforyouthsuccess.org,,
Rensselaer County Department for Youth,"547 River Street, Flanagan Square",Room 233,Troy,NY,12180,518-266-7550,,518-266-7518,http://www.rensco.com/youth-services/
Albany County Youth Bureau,112 State Street,Room #300,Albany,NY,12207,518-447-4892,Nicole.ward@albanycountyny.gov,518-447-7578,http://www.albanycounty.com/Government/Departments/DepartmentforChildrenYouthandFamilies/YouthBureau.aspx
Schenectady County Youth Bureau,797 Broadway,3rd Floor,Schenectady,NY,12305,518-386-2210,,518-344-2807,https://www.schenectadycounty.com/node/518
Ulster County Youth Bureau,304 Flatbush Avenue,,Kingston,NY,12401,845-334-5264,,845-334-5587,https://ulstercountyny.gov/youth-bureau/
Greene County Youth Bureau,411 Main Street,,Catskill,NY,12414,518-719-3555,,518-719-3798,https://www.greenegovernment.com/departments/human-services/youth
Columbia County Youth Bureau,25 Railroad Ave,P.O. Box 458,Hudson,NY,12534,518-828-9411 ext.2107,,518-828-5401,https://anysyb.net/about-us/
"Nubian Directions II, Inc.",248 Main Street,,Poughkeepsie,NY,12601,845-452-8574,,,http://nubiandirections.org/youthbuild.html
Dutchess County Youth Bureau,60 Market Street,,Poughkeepsie,NY,12601,845-486-3662,,845-486-3090,https://www.dutchessny.gov/Departments/Youth-Services/Division-of-Youth-Services.htm
Sullivan County Youth Bureau,100 N Street,P.O. Box 5012,Monticello,NY,12701,845-794-3000,,845-807-0399,http://sullivanny.us/Departments/Youthbureau
Washington County Youth Bureau,383 Broadway,,Fort Edward,NY,12828,518-746-2328,,518-746-2331,https://ny-washingtoncounty.civicplus.com/165/Youth-Bureau
Hamilton County Youth Board,143 White Birch Lane,,Indian Lake,NY,12842,518-648-5355,,518-648-6437,https://anysyb.net/about-us/
Warren County Youth Bureau,Warren County Municipal,,Lake George,NY,12845,518-761-6362,,518-761-6288,https://www.warrencountyny.gov/youth/
Clinton County Youth Bureau,137 Margaret Street,,Plattsburgh,NY,12901,518-565-3220,,518-565-4775,https://www.clintoncountygov.com/youthbureau
Essex County Youth Bureau,7533 Court Street,P.O. Box 217,Elizabethtown,NY,12932,518-873-3719,,518-873-3633,https://www.co.essex.ny.us/wp/department-of-social-services/?target=Youth%20Bureau
Franklin County Youth Bureau,355 West Main Street,,Malone,NY,12953,518-481-1876,,518-481-1628,https://countyfranklin.digitaltowpath.org:10078/content/Departments/View/25:field=services;/content/DepartmentServices/View/117
Cayuga County Youth Bureau,152 Genesee Street,,Auburn,NY,13021,315-253-1402,ybureau@co.cayuga.ny.us,315-253-1544,http://www.cayugacounty.us/354/Youth-Bureau
Cortland County Youth Bureau,60 Central Ave,,Cortland,NY,13045,607-758-5509,,607-756-3419,https://cortlandyb.recdesk.com/Community/Page?pageId=4518
Oswego City-County Youth Bureau,70 Bunner Street,,Oswego,NY,13126,315-349-3451,,315-349-3231,https://anysyb.net/about-us/
Madison County Youth Bureau,P.O. Box 635,,Wampsville,NY,13163,315-366-2574,,315-366-2579,https://www.madisoncounty.ny.gov/150/Youth-Bureau
Seneca County Youth Bureau,1 DiPronio Drive,,Waterloo,NY,13165,315-539-1794,,315-539-4251,https://www.co.seneca.ny.us/departments/dhs-administration/workforce-department/
Onondaga County Department of Aging and Youth,421 Montgomery Street,7th Floor,Syracuse,NY,13202,315-435-3346 ext. 4116,,315-435-2038,http://www.ongov.net/cfs/yboverview.html
Otsego County Youth Bureau,197 Main Street,,Cooperstown,NY,13326,607-547-4329,,607-547-4260,https://www.otsegocounty.com/departments/youth_bureau/index.php
Herkimer County Youth Bureau,109 Mary Street,Suite 1110,Herkimer,NY,13350,315-867-1213,,315-867-1497,https://www.herkimercounty.org/services-and-departments/youth-bureau.php
Lewis County Youth Bureau,5274 Outer Stowe Street,,Lowville,NY,13367,315-376-5411,Penny.Demo@dfa.state.ny.us,315-376-6189,https://www.lewiscounty.org/departments/lewis-county-youth-bureau/lewis-county-youth-bureau
Mohawk Valley Community College,1101 Sherman Drive,,Utica,NY,13501,315-334-7701,,,https://www.mvcc.edu/eoc/youthbuild.php
Oneida County Youth Bureau,800 Park Avenue,,Utica,NY,13501,315-793-6096,,315-798-6438,https://www.ocgov.net/oneida/youth/whoweare
Jefferson County Youth Bureau,175 Arsenal Street,,Watertown,NY,13601,315-785-3101,,315-785-3223,https://co.jefferson.ny.us/departments/YouthBureau
Saint Lawrence County Youth Bureau,80 State Highway 310,Suite 4,Canton,NY,13617,315-379-9464,,315-386-8636,https://www.stlawco.org/Departments/YouthBureau/
Deleware County Youth Bureau,111 Main Street,2nd Floor,Delhi,NY,13753,607-832-5400,,607-832-5367,http://www.co.delaware.ny.us/departments/dss/dss.htm
Chenango County Youth Bureau,5 Court Street,,Norwich,NY,13815,607-337-1656,kathyc@co.chenango.ny.us,607-336-1435,http://www.co.chenango.ny.us/youth/
Tioga County Youth Bureau,1062 State Route 38,P.O. Box 240,Owego,NY,13827,607-687-8317,,607-687-6168,https://www.tiogacountyny.com/programs-agencies/youth-bureau/
Broome County Youth Bureau,60 Hawley Street,P.O. Box 1766,Binghamton,NY,13902,607-778-2193,bcparks@co.broome.ny.us,607-778-2356,http://www.gobroomecounty.com/bcyb
Genesee County Youth Bureau,2 Bank Street,,Batavia,NY,14020,585-344-3960,,585-345-3063,https://www.co.genesee.ny.us/departments/youthbureau/aboutus.php
Erie County Youth Bureau,810 East Ferry Street,,Buffalo,NY,14201,716-923-4051,,716-893-7929,http://www2.erie.gov/youthservices/index.php?q=youth-bureau
"The Service Collaborative of Western New York, Inc",173 Elm Street,,Buffalo,NY,14203,716-418-8500 ext. 138,,,http://www.tscwny.org/Experience-Service/WNY-YouthBuild
Niagara County Youth Bureau,301 10th Street,,Niagara Falls,NY,14303,716-278-6872,,716-278-6875,http://www.niagaracounty.com/socialservices/Programs/Youth-Bureau
Livingston County Youth Bureau,6 Court Street,Room 106,Geneseo,NY,14454,585-243-7047,,585-243-7598,https://www.livingstoncounty.us/369/Youth-Bureau-Programs
Ontario County Youth Bureau,3010 County Complex Drive,,Canandaigua,NY,14456,585-396-4023,,585-396-4528,https://ontario-county.wixsite.com/youth-bureau
Wayne County Youth Bureau,1519 Nye Road,Suite 300,Lyons,NY,14489,315-946-5624,,315-946-5649,https://web.co.wayne.ny.us/index.php/ageyouth/youth-programs-and-services/
Yates County Youth Bureau,417 Liberty Street,Suite 2122,Penn Yan,NY,14527,315-531-3451,youthbureau@yatescounty.org,315-536-5168,https://www.yatescounty.org/267/Youth-Bureau
Whyoming County Youth Bureau,8 Perry Avenue,,Warsaw,NY,14569,585-786-8850,,585-786-8852,http://www.wyomingco.net/226/Youth-Bureau
Urban League of Rochester NY Inc.,265 North Clinton Avenue,,Rochester,NY,14605,585-325-6530 ext. 3003,,,http://www.ulr.org/Programs/WorkforceDevelopment.aspx
Monroe / Rochester County Youth Bureau,435 East Henrietta Road,,Rochester,NY,14620,585-753-6461,,585-753-6465,https://www2.monroecounty.gov/youth-index.php
Cattaraugus County Youth Bureau,200 Erie Street,Suite 2,Little Valley,NY,14755,716-938-2611,,716-939-2778,https://www.cattco.org/youth-bureau/youth-bureau
Chautauqua County Youth Bureau,7 North Erie Street,,Mayville,NY,14757,716-753-4725,,716-753-4640,https://www.co.chautauqua.ny.us/289/Youth-Bureau
Allegany County Youth Bureau,5 Court Street,Room 1,Belmont,NY,14813,585-268-5394,,585-268-5012,https://www.alleganyco.com/departments/youth-bureau/
Steuben County Youth Bureau,3 East Pulteney Square,,Bath,NY,14820,607-664-2119,,607-664-2282,https://www.steubencony.org/Pages.asp?PGID=53
Tompkins County Youth Services,320 West State Street,,Ithica,NY,14850,607-274-5310,,607-274-5313,http://tompkinscountyny.gov/youth
ACT Youth Center of Excellence,Bronfenbrenner Center for Translational Research,"Beebe Hall, Cornell University",Ithaca,NY,14853,607-255-7736,act4youth@cornell.edu,607-255-8562,http://www.actforyouth.net/
Schuyler County Youth Bureau,323 Owego Street,Unit 6,Montour Falls,NY,14865,607-535-6800,,607-535-6810,https://www.schuylercounty.us/214/Youth-Bureau
Chemung County Youth Bureau,599 Harris Hill Road,,Elmira,NY,14903,607-737-2907,,607-737-0435,https://www.chemungcountyny.gov/humanservices/youthbureau/youth_bureau_overview.php
Auberle,1101 Hartman Street,,McKeesport,PA,15132,412-673-5856 ext. 1257,,,https://www.auberle.org/transition-age-youth-programs
Partner 4 Work,650 Smithfield Street,Suite 2600,Pittsburgh,PA,15222,412-552-7091,info@partner4work.org,,https://www.partner4work.org/services
Garfield Julibee Association Inc.,5323 Penn Avenue,,Pittsburgh,PA,15224,412-665-5200,,,http://www.garfieldjubilee.org/youthbuild/
Westmoreland-Fayette Workforce Investment Board,145 Pavilion Lane,,Youngwood,PA,15697,724-755-2145,,,http://www.westfaywib.org/
Goodwill Industries of the Conemaugh Valley Inc.,540-542 Central Avenue,,Johnstown,PA,15902,814-536-3536 ext. 230,,,http://www.gogoodwill.org/who-we-serve/youth/
Clarion County Careerlink,22631 Route 68,,Clarion,PA,16214,844-333-5248,,,
Crawford County Careerlink,764 Bessemer St,Ste 105,Meadville,PA,16335,844-333-5248,,,
ResCare Workforce Services,2001 N Front Street,,Harrisburg,PA,17102,717-236-3160,,,https://www.rescare.com/workforceservices/
YWCA Greater Harrisburg YouthBuild,1101 Market Street,,Harrisburg,PA,17103,717-525-6383,,,http://www.ywcahbg.org/programs/yw-works-employment-program#.XRywqIJKhEY
Bethlehem Employment and Training Center,520 E 4th Street,,Bethlehem,PA,18015,610-868-7800 ext. 224,,,
Easton Employment and Training Center,27 S 3rd Street,,Easton,PA,18042,610-829-6099,,,
Allentown Employment and Training Center,718 W Hamilton Street,,Allentown,PA,18101,610-799-1205,,,
Bucks County Community College,1 Hillendale RD Upper,,Perkasie,PA,18944,215-258-7755,,,https://www.bucks.edu/
Eckerd Connects Workforce Development - Quakertown,600 Park Avenue,,Quakertown,PA,18951,215-529-2060,,,https://eckerd.org/region/pa/
Eckerd Connects Workforce Development - Drexel Hill,601 N Lansdowne Ave,,Drexel Hill,PA,19026,610-850-1397,,,https://eckerd.org/region/pa/
Eckerd WIOA OSY Program - Delaware County,16 W. Baltimore Pike,,Lansdowne,PA,19050,215-529-2060,,,https://eckerd.org/region/pa/
Eckerd Connects Workforce Development - Sharon Hill,300 Calcon Hook Road,,Sharon Hill,PA,19079,215-529-2060,,,https://eckerd.org/region/pa/
Bridges From School to Work,1500 Walnut Street,Suite 2007,Philadelphia,PA,19102,215-772-1290,booda.sanchez@marriott.com,,http://www.bridgestowork.org/locations/philadelphia/
Philadelphia Works,1617 JFK Boulevard,13th Floor,Philadelphia,PA,19103,215-557-2625,info@philaworks.org,,https://www.philaworks.org/
"Philadelphia Youth Network, Inc.",400 Market Street,Suite 200,Philadelphia,PA,19106,267-502-3742,youth@pyninc.org,,https://www.pyninc.org/
Philadelphia Youth For Change Charter School,1231 N. Broad Street,3rd Floor,Philadelphia,PA,19122,267-559-0007 ext. 23,,,https://youthbuildphilly.org/
North Philadelphia Careerlink,4261 N 5th St. (Bristol St.),,Philadelphia,PA,19140,215-967-9711,,,
United Community Services For Working Families,1251 North Front Street Reading,,Reading,PA,19601,484-755-5010,,,http://www.ucswf.org/?page_id=34
"Start NOW Program at Delaware Tech, Stanton Campus",400 Stanton-Christiana Rd,,Newark,DE,19713,302-454-3956,,,https://www.dtcc.edu/continuing-education
The Challenge Program,1124 E. Seventh Street,,Wilmington,DE,19801,302-655-0945,info@challengeprogram.org,,http://www.challengeprogram.org
DE Skills Center,13th & Clifford Brown Walk,,Wilmington,DE,19801,302-654-5392,,,http://www.deskillscenter.org/about/
"Start NOW Program at Delaware Tech, Wilmington Campus",333 Shipley Street,,Wilmington,DE,19801,302-830-5200,sg-workforcedevelopment@dtcc.edu,,https://www.dtcc.edu/continuing-education
"S.O.A.R Program at Delaware Tech, Wilmington Campus",333 Shipley Street,,Wilmington,DE,19801,302-657-5192,sg-workforcedevelopment@dtcc.edu,,https://www.dtcc.edu/continuing-education
Wilmington Police Athletic League (PAL),3707 North Market Street,,Wilmington,DE,19802,302-764-6170,,,http://palw.org/
West End Neighborhood,710 N. Lincoln Street,,Wilmington,DE,19805,302-658-4171,,,http://www.westendnh.org/
"Start NOW Program at Delaware Tech, Dover Campus",100 Campus Drive,,Dover,DE,19904,302-857-1400,terry-workforcedevelopment@dtcc.edu,,https://www.dtcc.edu/continuing-education
"Jobs for Delaware Graduates, Inc.",381 W. North Street,,Dover,DE,19904,302-734-9341,,,https://jobsdegrads.org/
Home Builders Institute,211 North Race St.,,Georgetown,DE,19947,302-245-2037,contacthbi@hbi.org,,http://www.hbi.org/
Jewish Family Services,20684 John J. Williams Hwy,,Lewes,DE,19958,302-827-6040,info@jfsdelaware.org,,https://www.jfsdelaware.org/
Boys and Girls Club-Laurel Club,310 Virginia Aevnue,,Seaford,DE,19973,302-628-3789,,,https://www.bgclubs.org/
Boys and Girls Club-Smyrna Club,240 E. Commerce Street,,Smyrna,DE,19977,302-659-5610,,,https://www.bgclubs.org/
Sahsha Bruce Youthwork,745 8th Street SE,,Washington,DC,20003,202-675-9340,rdeskins@sashabruce.org,,https://www.sashabruce.org/programs/
National Youth Employment Coalition,1155 15th Street NW,Suite 350,Washington,DC,20005,202-780-5928,NYEC@nyec.org,,https://nyec.org/
Lead Center,"1667 K Street, NW",Suite 480,Washington,DC,20006,202-296-2040,info@leadcenter.org,,http://www.leadcenter.org/wioa-workforce-development
Latin American Youth Center,1419 Columbia Road NW,,Washington,DC,20009,202-319-2225,info@layc-dc.org,,http://www.layc-dc.org/
Urban Alliance,2030 Q Street NW,,Washington,DC,20009,202-459-4310,ncole@theurbanalliance.org,,https://theurbanalliance.org/locations/washington-dc/
Latin American Youth Center YouthBuild Public Charter School,4010 21st Street NW,,Washington,DC,20009,202-319-0141,,,https://www.youthbuildpcs.org/
DC Department of Employment Services -  In-School Program,4058 Minnesota Avenue NE,,Washington,DC,20019,202-698-3492,youthjobs@dc.gov,202-698-5693,https://does.dc.gov/service/school-program
Samaritan Ministry,2509 Good Hope Road SE,,District of Columbia,DC,20020,202-793-2141,,,http://www.samaritanministry.org/content/job-assistance
Opportunities Industrialization Center,"3016 Martin Luter King, Jr. Ave SE",,Washington,DC,20032,202-373-0330,,202-373-0336,https://www.oicdc.org/
CLASP,1200 18th Street NW,Suite 200,Washington,DC,20036,202-906-8000,,,https://www.clasp.org/about
Tri-County Council for Southern Maryland,15045 Burnt Store Road,,Hughesville,MD,20637,301-274-1922,info@ready4life@somd.org,,http://tccsmd.org/
Capital Guardian Youth ChalleNGe Academy,3201 Oak Hill Drive,,Laurel,MD,20724,,,,http://www.cgyca.org/
Eckerd Connects Workforce Development,50001 Silver Hill Road,Suite 310,Suitland,MD,20746,301-316-9812,,,https://eckerd.org/region/md/
Eckerd Connects Workforce Development,1801 McCormick Drive,,Largo,MD,20774,301-618-8452,,,https://eckerd.org/region/md/
Per Scholas National Capital Region,700 Roeder Road,,Silver Spring,MD,20910,301-557-9200,nationalcapitalregion@perscholas.org,,https://perscholas.org/about?city=nationalcapitalregion
